,Age,Gender,Emotion,Ethnicity,Skin Colour,Eye Colour,Hair Colour,Nose Width,Nose Height,Eye Ave Width,Eye Area,Eye Spacing,Mouth Width,Lip Thickness,Face Area
81,45,Man,neutral,black,,black,black,2.2222222222222223,3.75,1.7407407407407407,10.315500685871056,5.851851851851852,3.851851851851852,1.6666666666666663,16200
82,25,Woman,happy,indian,,black,black,2.2222222222222223,4.2201834862385335,1.8888888888888888,11.193415637860085,6.296296296296298,4.37037037037037,2.4770642201834865,14715
83,47,Woman,fear,white,,black,brown,2.0437956204379564,4.033613445378151,1.715328467153285,9.390484309233312,6.131386861313869,4.014598540145985,2.3529411764705883,16303
84,31,Woman,happy,latino hispanic,,black,black,2.101449275362319,3.9344262295081966,1.8115942028985508,9.18924595673178,6.159420289855072,4.3478260869565215,2.459016393442623,16836
85,22,Man,neutral,latino hispanic,,black,black,1.8382352941176472,4.1228070175438605,1.7647058823529411,10.380622837370243,6.1764705882352935,3.75,1.2280701754385963,15504
86,31,Man,neutral,middle eastern,,black,black,2.014925373134328,4.473684210526316,1.9029850746268653,12.781243038538651,6.4179104477611935,3.955223880597015,1.4035087719298245,15276
87,35,Woman,happy,latino hispanic,,black,black,2.0,4.285714285714286,1.8571428571428568,11.93877551020408,6.142857142857142,4.285714285714286,2.26890756302521,16660
88,51,Man,neutral,latino hispanic,,black,grey,2.0863309352517985,4.0,1.6906474820143886,8.51405206769836,5.971223021582732,3.81294964028777,1.7391304347826086,15985
89,23,Woman,happy,asian,,brown,black,1.884057971014493,4.615384615384616,1.7391304347826086,9.45179584120983,6.159420289855072,3.9130434782608696,1.9230769230769231,14352
90,25,Woman,neutral,asian,,brown,black,1.875,4.117647058823529,1.597222222222222,6.100501543209878,5.625,3.541666666666667,1.7647058823529411,17136
91,26,Woman,fear,indian,,black,black,2.071428571428572,4.454545454545454,1.8571428571428568,12.602040816326529,6.142857142857142,3.7142857142857135,1.9090909090909087,15400
92,33,Woman,neutral,black,,black,black,2.071428571428572,4.173913043478262,1.75,11.25,5.857142857142858,3.571428571428572,2.1739130434782608,16100
93,27,Woman,happy,asian,,black,black,1.942446043165468,4.2477876106194685,1.6906474820143886,7.297758915170022,6.115107913669064,4.028776978417266,2.3008849557522124,15707
94,41,Woman,happy,white,,black,blonde,1.884057971014493,4.173913043478262,1.7391304347826086,10.712035286704475,6.159420289855072,4.202898550724638,2.0,15870
95,31,Woman,happy,asian,,black,black,2.014925373134328,3.963963963963964,1.6791044776119404,6.265315214969928,6.268656716417911,4.328358208955224,2.2522522522522523,14874
96,34,Man,happy,latino hispanic,,black,black,2.0567375886524824,4.1228070175438605,1.6666666666666663,8.274231678486997,6.028368794326241,3.900709219858157,1.3157894736842104,16074
97,23,Woman,fear,middle eastern,,black,brown,1.8248175182481752,4.2477876106194685,1.7518248175182485,9.590281847727637,6.131386861313869,3.576642335766423,1.5929203539823011,15481
98,23,Man,happy,white,,black,black,1.8796992481203008,4.1228070175438605,1.8045112781954888,8.140652382836791,6.315789473684211,4.135338345864661,1.3157894736842104,15162
99,23,Woman,neutral,indian,,black,black,2.1538461538461537,4.299065420560748,1.9230769230769231,13.31360946745562,6.461538461538463,3.8461538461538463,1.9626168224299063,13910
100,43,Man,happy,latino hispanic,,brown,black,2.027972027972028,4.1228070175438605,1.748251748251748,9.78042936084894,5.944055944055942,3.6363636363636367,1.4035087719298245,16302
101,43,Man,sad,white,,black,brown,1.9014084507042253,4.655172413793104,1.7253521126760565,9.11277524300734,5.985915492957746,3.661971830985917,1.4655172413793105,16472
102,26,Woman,neutral,latino hispanic,,black,black,1.925925925925926,4.727272727272728,1.851851851851852,11.65980795610425,6.148148148148147,3.555555555555556,1.7272727272727273,14850
103,27,Woman,neutral,asian,,black,brown,1.9852941176470589,4.678899082568806,1.8382352941176472,10.813148788927336,6.25,3.602941176470588,1.834862385321101,14824
104,28,Woman,neutral,latino hispanic,,black,black,1.9047619047619049,4.607843137254903,1.984126984126984,15.747039556563363,6.666666666666666,3.571428571428572,1.7647058823529411,12852
105,34,Man,neutral,white,,black,black,1.98581560283688,4.4444444444444455,1.702127659574468,8.450279161007996,5.957446808510637,4.042553191489361,1.282051282051282,16497
106,30,Woman,neutral,black,,black,black,2.440944881889764,4.150943396226415,1.9685039370078736,14.7250294500589,6.692913385826772,4.1732283464566935,2.358490566037736,13462
107,26,Man,neutral,indian,,black,black,2.1481481481481484,4.2105263157894735,1.851851851851852,10.973936899862824,6.296296296296298,3.851851851851852,1.5789473684210529,15390
108,35,Man,happy,asian,,brown,black,2.083333333333333,4.15929203539823,1.597222222222222,6.655092592592593,5.833333333333334,3.888888888888889,1.5929203539823011,16272
109,27,Man,neutral,black,,black,black,2.2627737226277373,4.2105263157894735,1.8613138686131387,12.227609355852737,6.2773722627737225,3.868613138686132,1.9298245614035088,15618
110,39,Woman,fear,white,,brown,brown,1.7910447761194028,4.2342342342342345,1.828358208955224,11.59779460904433,6.268656716417911,3.955223880597015,1.6216216216216215,14874
111,32,Woman,happy,black,,black,black,2.196969696969697,4.25925925925926,1.9696969696969693,13.429752066115704,6.515151515151515,4.545454545454545,2.592592592592593,14256
112,22,Woman,neutral,asian,,black,black,1.862068965517241,4.545454545454545,1.6896551724137931,10.487514863258026,5.93103448275862,3.1724137931034484,1.7272727272727273,15950
113,30,Woman,neutral,asian,,black,black,1.9696969696969693,4.414414414414415,1.893939393939394,12.91322314049587,6.287878787878787,3.712121212121212,1.891891891891892,14652
